101,George Beth Shon,georgebs@gmail.com,31,Ice Skater,Intermediate,UK,2,5,5,5,3
102,Kaith Andy Clos,kaithac@gmail.com,29,YLCompetitor,Professional,UK,4,3,2,2,5
103,Rinon Grov,rinon@hotmail.com,25,Ice Skater,Beginner,US,1,1,5,4,5
104,Mark Do Leno,markdl@gmail.com,22,YLCompetitor,Professional,UK,5,5,4,2,1
105,Harry Patrick,harryp@hotmail.com,32,YLCompetitor,Intermediate,UK,2,5,5,4,2
106,Vicy Mathew,vicym@hotmail.com,33,Ice Skater,Beginner,UK,3,2,4,5,1
107,Monica Loy,monical@gmail.com,29,YLCompetitor,Professional,US,4,4,5,2,1
108,Susan Mathew,susanm@gmail.com,28,Ice Skater,Beginner,US,5,4,5,3,4
109,Andy Stov,andys@hotmail.com,22,YLCompetitor,Intermediate,US,5,2,3,4,1
110,Mary Francis,maryf@hotmail.com,27,YLCompetitor,Professional,UK,5,4,2,5,2
111,Jomon Vicy,jomonv@hotmail.com,22,Ice Skater,Beginner,UK,5,4,3,1,4
112,Catherin George,cathering@hotmail.com,20,YLCompetitor,Professional,UAE,1,4,4,2,5
113,Aby Mathew,abym@gmail.com,34,Ice Skater,Beginner,UK,2,3,3,5,5
114,Jojo Mony,jojom@gmail.com,31,YLCompetitor,Professional,UK,2,3,4,1,5
115,Methen George,metheng@gmail.com,30,Ice Skater,Intermediate,UK,4,5,3,1,2
116,Scarlett John,scarlettj@hotmail.com,25,YLCompetitor,Beginner,UK,3,4,5,5,4
117,Patrick Shanon,patricks@hotmail.com,22,YLCompetitor,Professional,US,4,5,5,3,1
118,Rod Stod,rods@gmail.com,26,Ice Skater,Intermediate,UK,5,3,2,4,5
119,Lijo Willams,lijow@hotmail.com,28,YLCompetitor,Professional,UK,5,2,5,2,4
